category,name,price_min,price_max,link
MacBook,"Apple MacBook Pro 14"" M5 Pro chip (GPU/24GB)",114900,114900,https://www.bnn.in.th/en/p/apple-macbook-pro-14-m5-pro-chip-18c-cpu20c-gpu24gb2tb-silver-2026-mgdp4tha_zj1vmo?ref=category&verify=1
MacBook,"Apple MacBook Pro 14"" M5 Max chip",144900,144900,https://www.bnn.in.th/en/p/apple-macbook-pro-14-m5-max-chip-18c-cpu32c-gpu36gb2tb-silver-2026-mgdq4tha_d5oyxn?ref=category&verify=1
MacBook,"Apple MacBook Pro 16"" M5 Pro chip",104900,125900,https://www.bnn.in.th/en/p/apple-macbook-pro-16-m5-pro-chip-18c-cpu20c-gpu24gb1tb-space-black-2026-mgea4tha_dx9gwy?ref=category&verify=1
MacBook,"Apple MacBook Pro 16"" M5 Max chip",154900,174900,https://www.bnn.in.th/en/p/apple-macbook-pro-16-m5-max-chip-18c-cpu32c-gpu36gb2tb-space-black-2026-mged4tha_d48yn4?ref=category&verify=1
MacBook,"Apple MacBook Pro 14"" M5 chip (Eng-Keyboard)",51900,83900,https://www.bnn.in.th/en/p/apple-macbook-pro-14-m5-chip-10c-cpu10c-gpu16gb512gb-silver-2025-eng-keyboard-z1kl0002f_r01g2y?ref=category&verify=1
MacBook,"Apple MacBook Pro 14"" M5 Pro chip (Eng-Keyboard)",87900,105400,https://www.bnn.in.th/en/p/apple-macbook-pro-14-m5-pro-chip-15c-cpu16c-gpu24gb2tb-silver-2026-eng-keyboard-z1mh003nt_zo742k?ref=category&verify=1
MacBook,"Apple MacBook Pro 14"" M5 Pro chip GPU/24GB (Eng-Keyboard)",114900,114900,https://www.bnn.in.th/en/p/apple-macbook-pro-14-m5-pro-chip-18c-cpu20c-gpu24gb2tb-space-black-2026-eng-keyboard-z1mm001dc_rqnq2o?ref=category&verify=1
MacBook,"Apple MacBook Pro 14"" M5 Max chip (Eng-Keyboard)",144900,144900,https://www.bnn.in.th/en/p/apple-macbook-pro-14-m5-max-chip-18c-cpu32c-gpu36gb2tb-silver-2026-eng-keyboard-z1mk000y0_z9mj0g?ref=category&verify=1
MacBook,"Apple MacBook Pro 16"" M5 Pro chip (Eng-Keyboard)",104900,125900,https://www.bnn.in.th/en/p/apple-macbook-pro-16-m5-pro-chip-18c-cpu20c-gpu48gb1tb-space-black-2026-eng-keyboard-z1n00006l_z31yj0?ref=category&verify=1
MacBook,"Apple MacBook Pro 16"" M5 Max (Eng-Keyboard)",154900,174900,https://www.bnn.in.th/en/p/apple-macbook-pro-16-m5-max-chip-18c-cpu40c-gpu48gb2tb-silver-2026-eng-keyboard-z1my0003v_zew9xy?ref=category&verify=1
Apple Watch,Apple Watch SE 3 Midnight Aluminium Case with Midnight Sport Band,8500,11500,https://www.bnn.in.th/en/p/apple-watch-se-3-gps-40mm-midnight-aluminium-case-with-midnight-sport-band-sm-195950387162_z9m6og?ref=category&verify=1
Apple Watch,Apple Watch SE 3 Starlight Aluminium Case with Starlight Sport Band,8500,11500,https://www.bnn.in.th/en/p/apple-watch-se-3-gps-40mm-starlight-aluminium-case-with-starlight-sport-band-sm-195950386561_d48022?ref=category&verify=1
Apple Watch,Apple Watch Series 11 (42mm) Aluminium Case with Sport Band,14900,18900,https://www.bnn.in.th/en/p/apple-watch-series-11-gps-cellular-42mm-rose-gold-aluminium-case-with-light-blush-sport-band-ml-195950469905_zj1kv7?ref=category&verify=1
Apple Watch,Apple Watch Series 11 (46mm) Aluminium Case with Sport Band,15900,19900,https://www.bnn.in.th/en/p/apple-watch-series-11-gps-cellular-46mm-silver-aluminium-case-with-purple-fog-sport-band-ml-195950477962_rqne92?ref=category&verify=1
Apple Watch,Apple Watch Series 11 (42mm) Titanium Case with Milanese Loop,27900,27900,https://www.bnn.in.th/en/p/apple-watch-series-11-gps-cellular-42mm-slate-titanium-case-with-slate-milanese-loop-195950471885_d12p0o?ref=category&verify=1
Apple Watch,Apple Watch Series 11 (42mm) Titanium Case with Sport Band,25900,25900,https://www.bnn.in.th/en/p/apple-watch-series-11-gps-cellular-42mm-gold-titanium-case-with-light-blush-sport-band-ml-195950472424_zo7m4k?ref=category&verify=1
Apple Watch,Apple Watch Series 11 (46mm) Titanium Case with Milanese Loop,29900,29900,https://www.bnn.in.th/en/p/apple-watch-series-11-gps-cellular-46mm-gold-titanium-case-with-gold-milanese-loop-ml-195950480306_z7g7x6?ref=category&verify=1
Apple Watch,Apple Watch Series 11 (46mm) Titanium Case with Sport Band,27900,27900,https://www.bnn.in.th/en/p/apple-watch-series-11-gps-cellular-46mm-natural-titanium-case-with-stone-grey-sport-band-ml-195950478501_dm5xe1?ref=category&verify=1
Apple Watch,Apple Watch Ultra 3 Alpine Loop (49mm) Titanium Case,29900,29900,https://www.bnn.in.th/en/p/apple-watch-ultra-3-gps-cellular-49mm-black-titanium-case-with-black-alpine-loop-small-195950610154_r647n8?ref=category&verify=1
Apple Watch,Apple Watch Ultra 3 Ocean Band (49mm) Titanium Case,29900,29900,https://www.bnn.in.th/en/p/apple-watch-ultra-3-gps-cellular-49mm-natural-titanium-case-with-anchor-blue-ocean-band-195950608854_dn83x4?ref=category&verify=1
Apple Watch,Apple Watch Ultra 3 Milanese Loop (49mm) Titanium Case,33900,33900,https://www.bnn.in.th/en/p/apple-watch-ultra-3-gps-cellular-49mm-natural-titanium-case-with-natural-titanium-milanese-loop-small-195950609639_zo7myy?ref=category&verify=1
Apple Watch,Apple Watch Ultra 3 Trail Loop (49mm) Titanium Case,29900,29900,https://www.bnn.in.th/en/p/apple-watch-ultra-3-gps-cellular-49mm-black-titanium-case-with-blackcharcoal-trail-loop-sm-195950610543_dm5xw1?ref=category&verify=1
Apple Watch,Apple Watch 41mm Pride Edition Sport Loop,1590,1590,https://www.bnn.in.th/en/p/apple-watch-41mm-pride-edition-sport-loop-195950708851_dynj28?ref=category&verify=1
Apple Watch,Apple Watch 46mm Alpenglow Pink Nike Sport Loop,1590,1590,https://www.bnn.in.th/en/p/apple-watch-46mm-alpenglow-pink-nike-sport-loop-195950648874_z7g7m1?ref=category&verify=1
Apple Watch,Apple Watch 40mm Veiled Gray Nike Sport Loop,1590,1590,https://www.bnn.in.th/en/p/apple-watch-40mm-veiled-gray-nike-sport-loop-195950648546_dm5xvl?ref=category&verify=1
Apple Watch,Apple Watch 40mm Midnight Black Nike Sport Loop,1590,1590,https://www.bnn.in.th/en/p/apple-watch-40mm-midnight-black-nike-sport-loop-195950648515_d897ol?ref=category&verify=1
Apple Watch,Apple Watch 46mm Blue Ribbon Nike Sport Band - M/L,1590,1590,https://www.bnn.in.th/en/p/apple-watch-46mm-blue-ribbon-nike-sport-band-ml-195950648218_zgekg5?ref=category&verify=1
Apple Watch,Apple Watch 46mm Alpenglow Pink Nike Sport Band - S/M,1590,1590,https://www.bnn.in.th/en/p/apple-watch-46mm-alpenglow-pink-nike-sport-band-sm-195950648126_zo7mex?ref=category&verify=1
Apple Watch,Apple Watch 42mm Neon Yellow Sport Band - S/M,1590,1590,https://www.bnn.in.th/en/p/apple-watch-42mm-neon-yellow-sport-band-sm-195950534887_zwg3qg?ref=category&verify=1
Apple Watch,Apple Watch 46mm Purple Fog Sport Band - S/M,1590,1590,https://www.bnn.in.th/en/p/apple-watch-46mm-purple-fog-sport-band-sm-195950535488_d12pqy?ref=category&verify=1
Apple Watch,Apple Watch 46mm Anchor Blue Sport Band - S/M,1590,1590,https://www.bnn.in.th/en/p/apple-watch-46mm-anchor-blue-sport-band-sm-195950535426_d2l083?ref=category&verify=1
Apple Watch,Apple Watch 46mm Midnight Black Nike Sport Band - S/M,1590,1590,https://www.bnn.in.th/en/p/apple-watch-46mm-midnight-black-nike-sport-band-sm-195950648003_dk70po?ref=category&verify=1
Apple Watch,Apple Watch 42mm Purple Fog Sport Band - S/M,1590,1590,https://www.bnn.in.th/en/p/apple-watch-42mm-purple-fog-sport-band-sm-195950535006_r01kxq?ref=category&verify=1
Apple Watch,Apple Watch 46mm Midnight Black Nike Sport Band - M/L,1590,1590,https://www.bnn.in.th/en/p/apple-watch-46mm-midnight-black-nike-sport-band-ml-195950648034_zewmp1?ref=category&verify=1
